idx,timestamp,action,delta_before,delta_after,delta_change,quantity_traded,PnL_closing_futures,PnL_closing_options,PnL_total
54,2020/05/11 10:10:00.125,SHORT START : NEUTRAL,,,,,,,
54,2020/05/11 10:10:00.125,buy,-9.71584940263785,0.2841505973621494,10,10,5.0,-210.0,-205.0
55,2020/05/11 10:11:00.030,sell,0.5986997197120161,-0.4013002802879839,-1,1,-31.89999999999418,-110.0,-141.89999999999418
60,2020/05/11 10:16:00.000,sell,1.8353828431890733,-0.1646171568109267,-2,2,-229.59999999999127,-65.0,-294.59999999999127
61,2020/05/11 10:17:00.003,buy,-1.0199148093496433,-0.019914809349643292,1,1,-176.49999999999272,-225.0,-401.4999999999927
67,2020/05/11 10:23:00.051,buy,-0.64166211605135,0.35833788394864996,1,1,-127.74999999998545,-180.0,-307.74999999998545
68,2020/05/11 10:24:00.412,sell,1.3050587119141994,0.3050587119141994,-1,1,-206.1999999999971,-35.0,-241.1999999999971
69,2020/05/11 10:25:00.119,sell,0.7316495681912372,-0.26835043180876283,-1,1,-239.5500000000029,145.0,-94.55000000000291
70,2020/05/11 10:26:00.065,buy,-1.0399656525659395,-0.039965652565939536,1,1,-193.54999999999563,5.0,-188.54999999999563
72,2020/05/11 10:28:00.026,buy,-1.0535145427508539,-0.05351454275085388,1,1,-117.35000000000582,-10.0,-127.35000000000582
77,2020/05/11 10:33:00.120,sell,1.077477998405179,0.077477998405179,-1,1,-207.75,-40.0,-247.75
86,2020/05/11 10:42:00.056,sell,0.5376429760882857,-0.4623570239117143,-1,1,-245.5500000000029,130.0,-115.55000000000291
87,2020/05/11 10:43:00.024,buy,-0.5238607210958222,0.47613927890417784,1,1,-247.75000000000728,140.0,-107.75000000000728
88,2020/05/11 10:44:00.412,sell,0.5347863317753934,-0.46521366822460664,-1,1,-247.35000000002037,75.0,-172.35000000002037
90,2020/05/11 10:46:00.028,sell,0.9273907823666008,-0.07260921763339923,-1,1,-343.5000000000218,255.0,-88.50000000002183
93,2020/05/11 10:49:00.091,sell,0.5151494601628812,-0.4848505398371188,-1,1,-379.80000000001746,395.0,15.199999999982538
94,2020/05/11 10:50:00.439,buy,-0.978688269427991,0.02131173057200897,1,1,-358.6500000000233,295.0,-63.65000000002328
95,2020/05/11 10:51:00.000,buy,-0.6571206094600583,0.34287939053994165,1,1,-320.05000000001746,375.0,54.94999999998254
97,2020/05/11 10:53:00.192,sell,0.5514206964086839,-0.44857930359131615,-1,1,-332.05000000001746,485.0,152.94999999998254
102,2020/05/11 10:58:00.232,buy,-0.9787650211271526,0.02123497887284742,1,1,-304.20000000001164,435.0,130.79999999998836
106,2020/05/11 11:02:00.078,buy,-0.9899867664641206,0.010013233535879351,1,1,-237.0500000000102,220.0,-17.050000000010186
108,2020/05/11 11:04:00.006,sell,0.5068900754549617,-0.4931099245450383,-1,1,-269.9500000000262,270.0,0.04999999997380655
110,2020/05/11 11:06:00.331,buy,-0.5827792579609152,0.41722074203908477,1,1,-268.0000000000218,205.0,-63.00000000002183
111,2020/05/11 11:07:00.000,sell,0.5910242332057862,-0.40897576679421377,-1,1,-277.00000000001455,220.0,-57.00000000001455
112,2020/05/11 11:08:00.043,buy,-1.105161158743769,-0.10516115874376908,1,1,-236.85000000002037,195.0,-41.85000000002037
113,2020/05/11 11:09:00.118,sell,0.5070660826637976,-0.4929339173362024,-1,1,-282.5000000000291,210.0,-72.5000000000291
115,2020/05/11 11:11:00.055,sell,1.0290242791418294,0.029024279141829368,-1,1,-384.00000000001455,405.0,20.999999999985448
